Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S1,Chrome 99.0.4844.84,,,2022-04-07 14:11:20,2022-04-07 14:25:26,14m - 6.660s,PASSED
,,,,,,,
Test Cases/Sprint 4/Skenario 1/01-01-Transaction-AppBaru-InisiasiKonsumenBaru,Chrome 99.0.4844.84,Pengajuan 1 ( NPWP Tidak berlaku ),,2022-04-07 14:11:20,2022-04-07 14:13:50,2m - 29.406s,PASSED
robot = new java.awt.Robot(),Chrome 99.0.4844.84,,,2022-04-07 14:11:22,2022-04-07 14:11:22,0.150s,PASSED
userDir = getProjectDir(),Chrome 99.0.4844.84,,,2022-04-07 14:11:22,2022-04-07 14:11:22,0.004s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,Membuka browser chrome,,2022-04-07 14:11:22,2022-04-07 14:11:27,4.740s,PASSED
driver = getWebDriver(),Chrome 99.0.4844.84,,,2022-04-07 14:11:27,2022-04-07 14:11:27,0.032s,PASSED
navigateToUrl(ME_url),Chrome 99.0.4844.84,Melakukan navigasi ke alamat url / akses web aplikasi ME,,2022-04-07 14:11:27,2022-04-07 14:11:34,7.078s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,Memaksimalkan aplikasi ME ke ukuran full desktop,,2022-04-07 14:11:34,2022-04-07 14:11:34,0.199s,PASSED
delay(5),Chrome 99.0.4844.84,Melakukan delay 5 detik,,2022-04-07 14:11:34,2022-04-07 14:11:39,5.085s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User ID_login""), CMO)",Chrome 99.0.4844.84,Melakukan input user login,,2022-04-07 14:11:39,2022-04-07 14:11:40,0.947s,PASSED
"setText(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/input_User Password_login""), password)",Chrome 99.0.4844.84,Melakukan input password,,2022-04-07 14:11:40,2022-04-07 14:11:41,0.895s,PASSED
"takeFullPageScreenshotAsCheckpoint(userDir + sprint4WebScreenshootPath + ""scenario-1-aplikasi-baru-login.png"")",Chrome 99.0.4844.84,Melakukan screenshoot full page,,2022-04-07 14:11:41,2022-04-07 14:11:42,0.964s,PASSED
"markPassed(""Scenario 1 - Memastikan login berhasil"")",Chrome 99.0.4844.84,,,2022-04-07 14:11:42,2022-04-07 14:11:42,0.032s,PASSED
"click(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/button_Login""))",Chrome 99.0.4844.84,Menekan tombol login,,2022-04-07 14:11:42,2022-04-07 14:11:43,0.494s,PASSED
delay(2),Chrome 99.0.4844.84,Melakukan delay 2 detik,,2022-04-07 14:11:43,2022-04-07 14:11:45,2.014s,PASSED
"verifyElementPresent(findTestObject(""MEApp_AppBaru_InisiasiKonsumen/span_Transaksi""), 0)",Chrome 99.0.4844.84,Melakukan verifikasi objek tombol menu transaksi muncul,,2022-04-07 14:11:45,2022-04-07 14:11:45,0.566s,PASSED
